TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR,OVER_.500
Siena,31.0,B,A,A,B,B,B,A,A,B,B,2015.0,FALSE
Canisius,33.0,B,A,A,B,B,B,A,A,B,B,2016.0,FALSE
Fairfield,33.0,A,B,A,B,A,B,B,B,A,A,2016.0,TRUE
Manhattan,31.0,B,B,A,B,A,A,B,A,B,A,2016.0,FALSE
Marist,30.0,B,B,A,B,B,B,B,B,B,B,2016.0,FALSE
Monmouth,36.0,A,A,B,A,A,B,B,A,B,A,2016.0,TRUE
Niagara,32.0,B,B,A,B,B,A,A,B,B,B,2016.0,FALSE
Quinnipiac,30.0,B,B,B,B,B,A,A,B,B,B,2016.0,FALSE
Rider,33.0,B,B,A,B,B,A,B,B,A,B,2016.0,FALSE
Saint Peter's,30.0,B,B,B,B,B,A,A,B,B,B,2016.0,FALSE
Siena,34.0,A,A,A,A,A,A,A,A,A,A,2016.0,TRUE
Canisius,34.0,A,A,A,B,A,B,A,B,A,A,2017.0,TRUE
Fairfield,31.0,B,B,B,B,A,B,B,B,A,B,2017.0,TRUE
Manhattan,32.0,B,B,A,B,B,A,A,A,B,B,2017.0,FALSE
Marist,32.0,B,B,A,B,A,B,B,A,A,B,2017.0,FALSE
Monmouth,34.0,A,A,B,A,A,B,B,A,B,A,2017.0,TRUE
Niagara,33.0,B,B,A,B,B,B,A,B,B,A,2017.0,FALSE
Quinnipiac,31.0,B,B,A,B,B,A,A,B,B,B,2017.0,FALSE
Rider,33.0,A,B,A,B,B,A,A,A,B,B,2017.0,TRUE
Saint Peter's,36.0,A,B,B,A,A,B,B,B,B,A,2017.0,TRUE
Siena,34.0,A,A,A,B,A,A,A,A,A,B,2017.0,TRUE
Canisius,33.0,A,A,A,A,A,B,A,B,A,A,2018.0,TRUE
Fairfield,33.0,A,B,A,B,A,B,B,B,A,B,2018.0,TRUE
Manhattan,31.0,B,B,A,B,A,A,A,A,B,A,2018.0,FALSE
Marist,31.0,B,B,A,B,A,A,B,B,A,A,2018.0,FALSE
Monmouth,31.0,B,B,A,B,A,A,B,A,A,A,2018.0,FALSE
Niagara,33.0,A,A,A,B,A,B,A,A,A,A,2018.0,TRUE
Quinnipiac,33.0,B,B,A,B,A,A,B,A,A,B,2018.0,FALSE
Rider,32.0,A,A,A,A,A,B,A,A,A,A,2018.0,TRUE
Saint Peter's,32.0,B,B,B,B,B,A,B,B,B,B,2018.0,FALSE
Siena,32.0,B,B,A,B,B,A,A,A,B,A,2018.0,FALSE
Canisius,32.0,B,B,A,B,A,B,B,B,A,B,2019.0,FALSE
Fairfield,31.0,B,B,A,B,A,A,B,B,A,A,2019.0,FALSE
Manhattan,32.0,B,B,A,B,B,A,A,B,B,B,2019.0,FALSE
Marist,31.0,B,B,A,B,A,A,B,B,A,A,2019.0,FALSE
Monmouth,35.0,B,B,B,B,B,A,B,A,B,B,2019.0,FALSE
Niagara,32.0,B,B,A,B,B,B,B,B,B,A,2019.0,FALSE
Quinnipiac,31.0,B,A,A,B,A,A,B,A,B,A,2019.0,TRUE
Rider,31.0,B,B,A,B,A,B,A,A,A,B,2019.0,TRUE
Saint Peter's,32.0,B,B,A,B,B,A,A,B,B,B,2019.0,FALSE
Siena,33.0,A,B,A,B,A,B,B,B,A,B,2019.0,TRUE
Akron,34.0,A,A,B,A,B,A,A,B,B,A,2015.0,TRUE
Ball St.,29.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
Bowling Green,32.0,A,A,B,A,B,B,A,B,B,B,2015.0,TRUE
Central Michigan,29.0,A,A,A,A,A,B,B,A,A,A,2015.0,TRUE
Eastern Michigan,31.0,A,B,B,A,B,B,A,A,B,B,2015.0,TRUE
Kent St.,34.0,A,A,B,A,B,B,A,A,B,A,2015.0,TRUE
Miami OH,31.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Northern Illinois,29.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
Ohio,30.0,B,B,A,B,B,B,B,B,A,B,2015.0,FALSE
Toledo,33.0,A,A,A,A,A,B,A,A,A,A,2015.0,TRUE
Western Michigan,32.0,A,A,A,A,A,B,B,A,A,A,2015.0,TRUE
Akron,34.0,A,A,B,A,A,B,B,B,B,A,2016.0,TRUE
Ball St.,34.0,A,B,B,A,A,A,B,B,A,A,2016.0,TRUE
Bowling Green,32.0,B,B,A,B,B,B,B,A,B,A,2016.0,FALSE
Central Michigan,30.0,B,A,A,A,A,B,B,B,A,A,2016.0,FALSE
Eastern Michigan,29.0,B,A,A,A,B,B,A,A,A,B,2016.0,FALSE
Kent St.,31.0,A,A,A,B,B,B,A,A,A,B,2016.0,TRUE
Miami OH,32.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Northern Illinois,30.0,A,B,B,B,B,B,A,A,B,A,2016.0,TRUE
Ohio,34.0,A,A,A,A,A,B,B,A,A,A,2016.0,TRUE
Toledo,31.0,B,A,B,A,A,B,B,B,A,A,2016.0,TRUE
Western Michigan,30.0,B,B,A,B,B,B,A,A,B,B,2016.0,FALSE
Akron,35.0,A,A,A,A,A,B,B,A,A,A,2017.0,TRUE
Ball St.,33.0,A,A,A,B,A,A,B,B,A,A,2017.0,TRUE
Bowling Green,31.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Buffalo,30.0,A,A,B,A,A,A,A,A,A,B,2017.0,TRUE
Central Michigan,30.0,B,A,A,B,A,B,B,B,B,A,2017.0,TRUE
Eastern Michigan,29.0,B,A,A,A,B,B,A,B,B,B,2017.0,TRUE
Miami OH,30.0,B,B,A,B,B,A,B,A,A,B,2017.0,FALSE
Northern Illinois,29.0,B,B,B,B,B,A,A,A,B,B,2017.0,TRUE
Ohio,30.0,A,A,B,A,A,B,B,B,A,A,2017.0,TRUE
Toledo,33.0,A,A,A,A,A,B,B,A,A,A,2017.0,TRUE
Western Michigan,31.0,B,A,A,A,A,B,A,B,B,A,2017.0,TRUE
Akron,31.0,B,B,A,B,A,A,B,B,A,A,2018.0,FALSE
Ball St.,31.0,A,B,B,B,A,B,B,B,A,B,2018.0,TRUE
Bowling Green,30.0,B,B,A,B,B,B,B,A,B,B,2018.0,TRUE
Central Michigan,33.0,A,A,A,A,A,B,A,B,A,B,2018.0,TRUE
Eastern Michigan,31.0,A,B,B,A,A,B,A,B,A,B,2018.0,TRUE
Kent St.,33.0,A,B,A,B,B,B,A,B,B,B,2018.0,TRUE
Miami OH,32.0,B,B,B,B,A,A,B,B,A,B,2018.0,TRUE
Northern Illinois,30.0,B,B,A,B,B,B,B,B,A,B,2018.0,FALSE
Ohio,30.0,B,B,B,B,A,B,B,B,B,A,2018.0,FALSE
Toledo,33.0,A,A,A,A,A,B,B,A,A,A,2018.0,TRUE
Western Michigan,30.0,A,A,A,B,B,B,B,B,B,A,2018.0,TRUE
Akron,31.0,A,B,B,A,B,B,B,B,B,B,2019.0,TRUE
Ball St.,32.0,B,B,B,A,A,A,B,A,A,B,2019.0,TRUE
Bowling Green,32.0,A,A,B,A,A,B,A,B,B,A,2019.0,TRUE
Central Michigan,32.0,A,A,A,A,A,B,A,A,A,A,2019.0,TRUE
Eastern Michigan,28.0,B,B,B,A,B,A,A,B,A,B,2019.0,TRUE
Kent St.,31.0,A,A,A,A,B,B,A,B,A,B,2019.0,TRUE
Miami OH,30.0,B,B,B,A,B,B,A,B,B,B,2019.0,TRUE
Northern Illinois,32.0,A,A,A,A,A,B,B,B,A,A,2019.0,TRUE
Ohio,30.0,B,B,B,B,B,A,B,B,A,B,2019.0,FALSE
Toledo,32.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
Western Michigan,31.0,B,B,A,B,B,A,B,A,A,B,2019.0,FALSE
Bethune Cookman,30.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
Coppin St.,30.0,B,B,A,B,B,B,B,B,B,A,2015.0,FALSE
Delaware St.,34.0,B,B,A,B,B,A,A,B,B,A,2015.0,FALSE
Florida A&M,29.0,B,B,A,B,B,A,B,A,B,B,2015.0,FALSE
Howard,29.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
Maryland Eastern Shore,33.0,A,B,A,B,A,A,A,A,A,A,2015.0,TRUE
Morgan St.,31.0,B,B,A,B,B,B,A,B,B,B,2015.0,FALSE
Norfolk St.,32.0,A,B,A,B,A,A,A,A,A,A,2015.0,TRUE
North Carolina A&T,30.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
North Carolina Central,30.0,A,B,B,A,A,A,A,A,A,A,2015.0,TRUE
Savannah St.,29.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
South Carolina St.,31.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
Bethune Cookman,30.0,B,B,A,B,B,B,A,B,B,B,2016.0,FALSE
Coppin St.,29.0,B,B,A,B,B,B,A,A,B,B,2016.0,FALSE
Delaware St.,30.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Florida A&M,27.0,B,B,A,B,B,A,B,A,B,B,2016.0,FALSE
Howard,30.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
Maryland Eastern Shore,31.0,B,B,A,B,B,A,A,A,A,B,2016.0,FALSE
Morgan St.,30.0,B,B,A,B,B,B,A,B,B,B,2016.0,FALSE
Norfolk St.,32.0,B,A,A,B,B,B,A,A,B,A,2016.0,FALSE
North Carolina A&T,31.0,B,B,A,B,B,A,B,A,B,B,2016.0,FALSE
North Carolina Central,29.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
Savannah St.,30.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
South Carolina St.,32.0,A,B,A,B,B,B,B,B,A,B,2016.0,TRUE
Bethune Cookman,30.0,B,B,A,B,B,B,A,B,B,B,2017.0,FALSE
Coppin St.,30.0,B,B,A,B,B,A,B,A,B,B,2017.0,FALSE
Delaware St.,30.0,B,B,A,B,B,A,B,B,B,A,2017.0,FALSE
Florida A&M,28.0,B,B,A,B,B,B,B,A,B,B,2017.0,FALSE
Hampton,29.0,B,B,A,B,B,A,A,B,B,B,2017.0,FALSE
Howard,32.0,B,B,A,B,B,A,A,A,B,B,2017.0,FALSE
Maryland Eastern Shore,32.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Morgan St.,29.0,B,B,A,B,B,A,A,A,B,B,2017.0,FALSE
Norfolk St.,32.0,A,B,A,B,B,A,B,A,B,B,2017.0,TRUE
North Carolina A&T,30.0,B,B,A,B,B,A,A,B,B,B,2017.0,FALSE
Savannah St.,27.0,B,B,A,B,B,B,B,B,A,B,2017.0,FALSE
South Carolina St.,29.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
Bethune Cookman,30.0,A,B,A,B,B,A,A,A,A,B,2018.0,TRUE
Coppin St.,32.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Delaware St.,30.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Florida A&M,33.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
Hampton,32.0,A,B,A,B,B,B,B,B,A,B,2018.0,TRUE
Howard,31.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
Maryland Eastern Shore,30.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Morgan St.,30.0,B,B,A,B,B,B,A,A,B,B,2018.0,FALSE
Norfolk St.,30.0,B,B,A,B,B,A,A,B,B,A,2018.0,FALSE
North Carolina A&T,33.0,A,B,A,B,A,A,B,A,A,B,2018.0,TRUE
Savannah St.,30.0,B,B,A,B,B,B,B,B,A,B,2018.0,TRUE
South Carolina St.,30.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
Bethune Cookman,29.0,B,B,A,B,B,A,A,A,B,B,2019.0,FALSE
Coppin St.,33.0,B,B,A,B,B,A,B,A,B,B,2019.0,FALSE
Delaware St.,29.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Florida A&M,29.0,B,B,B,B,B,A,B,B,B,A,2019.0,FALSE
Howard,31.0,A,B,A,B,B,B,B,B,B,A,2019.0,TRUE
Maryland Eastern Shore,30.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Morgan St.,28.0,B,B,A,B,B,B,A,B,B,B,2019.0,FALSE
Norfolk St.,33.0,A,B,A,B,B,A,B,A,B,A,2019.0,TRUE
North Carolina A&T,30.0,A,B,A,B,A,A,B,B,A,B,2019.0,TRUE
Savannah St.,30.0,B,B,A,B,B,A,B,B,A,B,2019.0,FALSE
South Carolina St.,32.0,B,B,A,B,B,A,A,A,B,B,2019.0,FALSE
Bradley,32.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
Drake,30.0,B,A,A,B,A,A,B,B,B,A,2015.0,FALSE
Evansville,35.0,A,A,B,A,A,A,B,A,A,A,2015.0,TRUE
Illinois St.,34.0,A,A,B,A,B,A,A,B,B,B,2015.0,TRUE
Indiana St.,30.0,B,B,B,A,B,A,B,A,B,A,2015.0,FALSE
Loyola Chicago,35.0,A,A,B,A,A,A,B,B,A,A,2015.0,TRUE
Missouri St.,29.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
Southern Illinois,32.0,B,B,B,B,B,A,A,A,B,B,2015.0,FALSE
Bradley,31.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
Drake,30.0,B,B,A,B,A,A,B,B,B,A,2016.0,FALSE
Evansville,33.0,A,A,B,A,A,B,B,A,A,A,2016.0,TRUE
Illinois St.,31.0,A,B,B,A,B,B,A,B,B,B,2016.0,TRUE
Indiana St.,31.0,B,B,B,B,B,B,B,A,B,B,2016.0,FALSE
Loyola Chicago,31.0,B,B,B,A,B,A,B,B,B,A,2016.0,FALSE
Missouri St.,31.0,B,B,A,B,B,B,B,A,B,B,2016.0,FALSE
Southern Illinois,32.0,A,A,B,A,A,A,A,A,A,B,2016.0,TRUE
Bradley,32.0,B,B,B,B,B,A,B,A,B,A,2017.0,FALSE
Drake,29.0,B,B,A,B,B,B,B,B,B,A,2017.0,FALSE
Evansville,31.0,B,A,B,A,B,B,B,A,B,A,2017.0,TRUE
Illinois St.,34.0,A,A,B,A,A,B,A,B,B,A,2017.0,TRUE
Indiana St.,30.0,B,B,B,B,B,B,B,B,B,B,2017.0,FALSE
Loyola Chicago,30.0,A,A,B,A,A,B,B,B,A,A,2017.0,TRUE
Missouri St.,32.0,A,A,A,A,A,B,A,B,B,A,2017.0,TRUE
Northern Iowa,29.0,B,B,B,A,B,B,B,B,B,B,2017.0,FALSE
Southern Illinois,32.0,A,B,B,B,B,B,B,B,B,B,2017.0,TRUE
Bradley,32.0,A,A,B,A,B,A,A,A,B,A,2018.0,TRUE
Drake,33.0,A,A,A,A,A,B,B,B,B,A,2018.0,TRUE
Evansville,30.0,A,B,B,A,B,A,B,B,B,A,2018.0,TRUE
Illinois St.,32.0,A,A,B,A,B,A,B,B,A,B,2018.0,TRUE
Indiana St.,29.0,B,B,B,A,B,A,B,B,B,A,2018.0,FALSE
Missouri St.,32.0,A,A,A,A,B,B,A,B,A,B,2018.0,TRUE
Northern Iowa,30.0,B,A,B,A,B,B,B,B,B,B,2018.0,TRUE
Southern Illinois,32.0,A,A,B,A,A,B,B,B,A,A,2018.0,TRUE
Valparaiso,30.0,B,B,B,A,A,A,B,A,A,B,2018.0,TRUE
Drake,32.0,A,A,B,A,A,A,B,B,A,A,2019.0,TRUE
Evansville,30.0,B,B,A,B,B,B,B,A,B,B,2019.0,FALSE
Illinois St.,32.0,A,B,A,B,B,B,B,B,A,B,2019.0,TRUE
Indiana St.,29.0,B,B,A,B,B,B,B,B,B,A,2019.0,TRUE
Loyola Chicago,33.0,A,A,B,A,A,A,B,B,A,A,2019.0,TRUE
Missouri St.,31.0,B,B,B,B,A,B,B,A,A,B,2019.0,TRUE
Northern Iowa,32.0,B,B,B,B,B,B,B,B,B,A,2019.0,TRUE
Southern Illinois,32.0,A,B,B,B,A,A,B,B,A,A,2019.0,TRUE
Valparaiso,31.0,B,B,B,B,B,A,B,B,A,B,2019.0,FALSE
Air Force,29.0,B,A,A,B,A,A,B,B,A,A,2015.0,FALSE
Colorado St.,33.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
Fresno St.,30.0,B,B,A,B,B,B,B,A,B,B,2015.0,FALSE
Nevada,29.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
New Mexico,31.0,B,B,B,A,B,A,A,A,B,B,2015.0,FALSE
San Jose St.,28.0,B,B,A,B,B,A,B,B,B,B,2015.0,FALSE
UNLV,32.0,A,A,B,A,A,B,B,B,B,A,2015.0,TRUE
Utah St.,30.0,A,A,B,A,A,B,B,A,B,A,2015.0,TRUE
Air Force,30.0,B,B,A,B,B,A,B,A,B,B,2016.0,FALSE
Boise St.,30.0,A,A,B,A,A,B,B,A,A,B,2016.0,TRUE
Colorado St.,32.0,B,A,A,A,A,B,A,A,B,A,2016.0,TRUE
Nevada,36.0,A,B,B,A,B,B,A,A,B,B,2016.0,TRUE
New Mexico,32.0,A,A,B,A,A,A,A,A,A,A,2016.0,TRUE
San Diego St.,36.0,A,A,B,A,B,B,A,A,B,B,2016.0,TRUE
San Jose St.,28.0,B,B,B,B,B,A,B,A,B,B,2016.0,FALSE
UNLV,31.0,B,B,B,A,B,A,B,A,A,B,2016.0,TRUE
Utah St.,29.0,B,A,A,A,A,B,B,B,A,A,2016.0,FALSE
Wyoming,30.0,B,A,A,A,A,B,B,A,A,A,2016.0,FALSE
Air Force,31.0,B,B,A,B,B,B,B,A,B,A,2017.0,FALSE
Boise St.,31.0,A,A,B,A,A,B,B,A,A,A,2017.0,TRUE
Colorado St.,34.0,A,A,B,A,B,B,A,A,B,B,2017.0,TRUE
Fresno St.,31.0,A,A,B,A,A,A,B,A,A,A,2017.0,TRUE
New Mexico,31.0,A,A,B,A,A,B,B,A,A,B,2017.0,TRUE
San Diego St.,32.0,A,B,B,A,B,B,A,B,B,B,2017.0,TRUE
San Jose St.,28.0,B,B,A,B,B,B,B,A,B,B,2017.0,TRUE
UNLV,32.0,B,B,A,B,B,B,B,A,B,B,2017.0,FALSE
Utah St.,30.0,B,A,B,A,A,B,B,B,A,A,2017.0,TRUE
Wyoming,36.0,A,A,B,A,A,B,B,A,A,A,2017.0,TRUE
Air Force,29.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Boise St.,31.0,A,A,B,A,A,A,B,B,A,A,2018.0,TRUE
Colorado St.,31.0,B,B,A,B,B,A,A,B,B,B,2018.0,FALSE
Fresno St.,30.0,A,A,B,A,A,B,B,A,A,A,2018.0,TRUE
New Mexico,33.0,A,A,A,A,A,B,B,B,A,A,2018.0,TRUE
San Jose St.,29.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
UNLV,33.0,A,A,A,A,A,A,A,A,A,B,2018.0,TRUE
Utah St.,33.0,A,A,A,A,A,A,B,B,A,A,2018.0,TRUE
Wyoming,32.0,A,A,B,A,A,B,B,A,A,B,2018.0,TRUE
Air Force,31.0,B,B,A,B,A,A,B,B,A,B,2019.0,FALSE
Boise St.,32.0,B,A,B,A,A,B,B,B,A,A,2019.0,FALSE
Colorado St.,31.0,B,A,A,B,A,B,B,B,A,A,2019.0,FALSE
Fresno St.,31.0,A,A,B,A,A,B,B,B,A,A,2019.0,TRUE
New Mexico,31.0,B,B,A,B,B,A,B,A,B,B,2019.0,FALSE
San Diego St.,33.0,A,B,B,A,A,B,B,B,B,A,2019.0,TRUE
San Jose St.,30.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
UNLV,31.0,A,A,A,B,B,B,A,B,B,B,2019.0,TRUE
Wyoming,31.0,B,B,A,B,B,A,B,A,B,A,2019.0,FALSE
Bryant,31.0,B,B,A,B,B,B,B,B,B,A,2015.0,TRUE
Central Connecticut,31.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
Fairleigh Dickinson,28.0,B,B,A,B,B,B,B,B,B,B,2015.0,FALSE
LIU Brooklyn,30.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
Mount St. Mary's,30.0,B,B,B,B,B,A,A,B,B,B,2015.0,TRUE
Sacred Heart,31.0,B,B,A,B,B,A,A,B,A,B,2015.0,FALSE
St. Francis NY,34.0,A,B,B,B,B,A,A,A,B,B,2015.0,TRUE
St. Francis PA,31.0,B,B,B,B,A,A,B,B,A,B,2015.0,FALSE
Wagner,29.0,B,B,A,B,B,A,A,B,B,B,2015.0,FALSE
Bryant,30.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Central Connecticut,29.0,B,B,A,B,B,A,A,B,B,B,2016.0,FALSE
LIU Brooklyn,31.0,B,B,A,B,B,B,A,A,A,B,2016.0,TRUE
Mount St. Mary's,33.0,B,B,B,B,B,B,B,B,B,B,2016.0,FALSE
Robert Morris,32.0,B,B,A,B,B,A,B,B,A,B,2016.0,FALSE
Sacred Heart,30.0,B,B,A,B,B,A,A,A,A,B,2016.0,FALSE
St. Francis NY,31.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
St. Francis PA,29.0,B,B,A,B,B,B,A,A,B,A,2016.0,FALSE
Wagner,33.0,A,B,B,B,B,A,A,B,B,B,2016.0,TRUE
Bryant,31.0,B,B,A,B,B,A,B,B,A,B,2017.0,FALSE
Central Connecticut,29.0,B,B,A,B,B,A,A,B,B,A,2017.0,FALSE
Fairleigh Dickinson,29.0,B,B,A,B,B,A,B,A,A,B,2017.0,FALSE
LIU Brooklyn,31.0,A,B,A,B,B,A,A,A,B,A,2017.0,TRUE
Robert Morris,33.0,B,B,B,B,B,A,B,A,B,B,2017.0,FALSE
Sacred Heart,32.0,B,B,A,B,B,A,A,B,A,B,2017.0,FALSE
St. Francis NY,30.0,B,B,A,B,B,B,B,B,B,B,2017.0,FALSE
St. Francis PA,33.0,A,B,A,B,A,A,B,B,A,A,2017.0,TRUE
Wagner,29.0,B,B,A,B,B,A,A,B,B,B,2017.0,TRUE
Bryant,31.0,B,B,A,B,B,B,B,B,B,B,2018.0,FALSE
Central Connecticut,32.0,B,B,A,B,A,A,A,B,A,B,2018.0,FALSE
Fairleigh Dickinson,29.0,B,B,A,B,B,A,A,B,A,B,2018.0,FALSE
Mount St. Mary's,30.0,A,B,A,B,A,B,B,B,A,A,2018.0,TRUE
Robert Morris,33.0,B,B,B,B,B,A,A,B,B,B,2018.0,FALSE
Sacred Heart,30.0,B,B,A,B,B,A,A,B,A,B,2018.0,FALSE
St. Francis NY,29.0,B,B,A,B,B,B,B,B,B,A,2018.0,FALSE
St. Francis PA,29.0,A,A,A,B,A,B,B,B,A,A,2018.0,TRUE
Wagner,31.0,A,B,A,B,B,A,A,B,B,A,2018.0,TRUE
Bryant,30.0,B,B,A,B,B,B,B,A,A,B,2019.0,FALSE
Central Connecticut,29.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
LIU Brooklyn,31.0,B,B,A,B,A,A,B,B,A,B,2019.0,TRUE
Mount St. Mary's,29.0,B,B,A,B,B,A,B,B,B,B,2019.0,FALSE
Robert Morris,33.0,A,B,A,B,B,A,A,B,B,B,2019.0,TRUE
Sacred Heart,31.0,B,B,A,B,A,A,A,A,A,A,2019.0,FALSE
St. Francis NY,31.0,A,B,A,B,B,B,B,B,B,B,2019.0,TRUE
St. Francis PA,31.0,A,A,A,B,B,B,A,B,B,A,2019.0,TRUE
Wagner,28.0,B,B,A,B,B,A,A,B,B,B,2019.0,FALSE
Austin Peay,28.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
Eastern Illinois,31.0,B,B,A,B,A,A,B,B,B,A,2015.0,TRUE
Eastern Kentucky,31.0,A,A,B,A,A,B,B,B,A,A,2015.0,TRUE
Jacksonville St.,29.0,B,B,A,B,B,B,B,A,B,B,2015.0,FALSE
Morehead St.,32.0,B,B,B,A,B,A,A,B,B,B,2015.0,FALSE
Murray St.,33.0,A,A,B,A,A,B,A,A,A,A,2015.0,TRUE
SIU Edwardsville,26.0,B,B,B,B,B,A,B,A,B,A,2015.0,FALSE
Southeast Missouri St.,28.0,B,B,A,B,B,A,A,A,B,B,2015.0,FALSE
Tennessee Martin,32.0,A,A,A,B,A,B,A,B,A,A,2015.0,TRUE
Tennessee St.,29.0,B,B,A,B,B,A,B,A,B,A,2015.0,FALSE
Tennessee Tech,28.0,B,B,A,B,B,A,A,B,A,B,2015.0,FALSE
Belmont,31.0,A,A,A,A,A,A,B,B,A,A,2016.0,TRUE
Eastern Illinois,28.0,B,B,A,B,A,B,B,B,B,B,2016.0,FALSE
Eastern Kentucky,30.0,B,A,A,B,A,A,B,A,A,A,2016.0,FALSE
Jacksonville St.,29.0,B,B,A,B,B,B,B,B,B,A,2016.0,FALSE
Morehead St.,35.0,A,A,B,A,B,B,A,B,B,A,2016.0,TRUE
Murray St.,29.0,B,A,A,A,A,B,B,B,A,A,2016.0,TRUE
SIU Edwardsville,28.0,B,B,A,B,B,A,A,A,B,B,2016.0,FALSE
Southeast Missouri St.,27.0,B,B,A,B,B,A,B,B,B,B,2016.0,FALSE
Tennessee Martin,33.0,A,B,A,B,A,B,B,B,A,B,2016.0,TRUE
Tennessee St.,29.0,A,B,B,B,A,A,A,A,A,B,2016.0,TRUE
Tennessee Tech,29.0,A,A,A,B,A,B,B,A,A,A,2016.0,TRUE
Austin Peay,28.0,B,A,A,B,A,B,B,A,A,A,2017.0,FALSE
Belmont,29.0,A,A,B,A,A,B,B,B,A,B,2017.0,TRUE
Eastern Illinois,27.0,B,B,A,B,B,B,B,B,B,A,2017.0,TRUE
Eastern Kentucky,29.0,B,B,A,B,B,A,B,A,A,B,2017.0,FALSE
Morehead St.,28.0,B,A,A,B,A,B,A,B,B,A,2017.0,TRUE
Murray St.,31.0,B,A,A,B,A,B,A,B,B,A,2017.0,TRUE
SIU Edwardsville,28.0,B,B,A,B,B,A,A,A,B,B,2017.0,FALSE
Southeast Missouri St.,31.0,B,B,A,B,A,B,B,B,A,A,2017.0,FALSE
Tennessee Martin,33.0,A,A,A,B,A,A,A,B,A,A,2017.0,TRUE
Tennessee St.,28.0,A,B,B,A,B,A,A,A,B,B,2017.0,TRUE
Tennessee Tech,30.0,B,B,A,B,B,A,B,A,B,B,2017.0,FALSE
Austin Peay,32.0,A,A,A,B,A,A,A,B,A,A,2018.0,TRUE
Belmont,33.0,A,A,A,A,A,B,B,B,A,A,2018.0,TRUE
Eastern Illinois,29.0,B,B,A,B,B,A,A,B,B,A,2018.0,FALSE
Eastern Kentucky,29.0,B,B,A,B,B,A,B,B,B,A,2018.0,FALSE
Jacksonville St.,35.0,A,B,B,A,A,A,A,B,A,B,2018.0,TRUE
Morehead St.,27.0,B,B,A,B,B,A,A,A,B,B,2018.0,FALSE
SIU Edwardsville,30.0,B,B,A,B,B,A,B,B,B,B,2018.0,FALSE
Southeast Missouri St.,29.0,B,A,A,B,A,B,B,A,A,A,2018.0,FALSE
Tennessee Martin,29.0,B,B,A,B,B,A,B,B,A,B,2018.0,FALSE
Tennessee St.,28.0,B,B,B,B,B,A,B,A,B,B,2018.0,TRUE
Tennessee Tech,31.0,A,B,B,B,B,A,B,A,B,A,2018.0,TRUE
Austin Peay,31.0,A,A,A,A,A,B,A,B,A,A,2019.0,TRUE
Eastern Illinois,31.0,B,B,A,B,B,A,B,B,B,A,2019.0,FALSE
Eastern Kentucky,29.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
Jacksonville St.,31.0,A,A,B,A,A,A,A,B,A,B,2019.0,TRUE
Morehead St.,31.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
SIU Edwardsville,29.0,B,B,A,B,B,B,B,B,B,B,2019.0,FALSE
